time,open,high,low,close,tick_volume,spread,real_volume
2023-06-29,30080.0,30815.0,30007.0,30393.0,27234,1173,0
2023-06-30,30384.0,31253.0,29435.0,30370.0,59354,651,0
2023-07-03,30581.0,31378.0,30418.0,31114.0,28632,1600,0
2023-07-04,31111.0,31317.0,30617.0,30780.0,22657,667,0
2023-07-05,30782.0,30863.0,30177.0,30460.0,21111,720,0
2023-07-06,30455.0,31496.0,29882.0,30296.0,37996,2200,0
2023-07-07,30301.0,30440.0,29705.0,30245.0,28509,797,0
2023-07-10,30185.0,31050.0,29946.0,30769.0,22205,2400,0
2023-07-11,30764.0,30806.0,30188.0,30555.0,23105,2000,0
2023-07-12,30557.0,30956.0,30190.0,30323.0,24158,2300,0
2023-07-13,30336.0,31811.0,30234.0,31338.0,34894,751,0
2023-07-14,31369.0,31623.0,29905.0,30196.0,38631,751,0
2023-07-17,30273.0,30379.0,29662.0,29928.0,21599,2800,0
2023-07-18,29926.0,30285.0,29518.0,29765.0,24007,400,0
2023-07-19,29770.0,30184.0,29743.0,29947.0,18829,770,0
