time,open,close,high,low,tick_volume,target_close
2022-08-16,24066.94,23989.75,24247.0,23658.0,267149,23418.75
2022-08-17,23976.38,23418.75,24442.0,23172.75,263789,23421.12
2022-08-18,23351.32,23421.12,23591.75,23226.96,289983,21271.5
2022-08-19,23411.07,21271.5,23423.75,21140.6,357085,21092.0
2022-08-22,21525.28,21092.0,21702.83,20887.37,213098,21480.25
2022-08-23,21087.29,21480.25,21680.0,20885.8,220753,21697.25
2022-08-24,21485.54,21697.25,21898.45,21145.5,209560,21638.0
2022-08-25,21678.02,21638.0,21808.75,21302.75,202135,20647.75
2022-08-26,21647.58,20647.75,21873.53,20530.77,189854,20163.25
2022-08-29,19982.97,20163.25,20417.5,19510.82,213037,19956.75
2022-08-30,20154.57,19956.75,20572.25,19534.25,237581,20209.25
2022-08-31,19925.62,20209.25,20489.53,19744.0,257067,20072.0
2022-09-01,20168.48,20072.0,20286.34,19555.25,342384,19908.75
2022-09-02,20041.98,19908.75,20437.0,19750.5,314847,19746.75
2022-09-05,19868.76,19746.75,20059.4,19632.0,154459,18954.25
2022-09-06,19734.62,18954.25,20178.86,18651.53,326864,19395.07
2022-09-07,19004.06,19395.07,19450.5,18523.76,178763,19378.0
2022-09-08,19417.61,19378.0,19463.0,19010.99,258482,21257.6
2022-09-09,19349.53,21257.6,21435.44,19249.5,243623,22408.5
2022-09-12,21646.5,22408.5,22487.37,21442.17,196229,20231.75
2022-09-13,22398.3,20231.75,22793.37,20040.56,375778,19947.5
2022-09-14,20146.86,19947.5,20519.55,19605.54,288146,19831.75
2022-09-15,19915.52,19831.75,20391.16,19480.82,268729,19734.75
2022-09-16,19819.24,19734.75,19891.99,19321.07,259805,19513.0
2022-09-19,19666.78,19513.0,19694.28,18253.87,262095,18960.5
2022-09-20,19502.24,18960.5,19682.25,18711.84,252493,18886.75
2022-09-21,18942.19,18886.75,19909.42,18653.78,259387,19242.75
2022-09-22,18861.46,19242.75,19491.5,18132.39,303523,18884.0
2022-09-23,19256.31,18884.0,19518.62,18522.81,281517,19116.0
2022-09-26,18891.79,19116.0,19309.5,18619.75,242275,19047.0
2022-09-27,19096.76,19047.0,20377.09,18811.55,308186,19564.0
2022-09-28,18994.01,19564.0,19655.03,18459.87,278800,19489.25
2022-09-29,19564.31,19489.25,19767.98,18840.56,265052,19400.25
2022-09-30,19490.25,19400.25,20181.5,19134.25,197128,19590.0
2022-10-03,19213.55,19590.0,19647.75,18915.98,234794,20355.0
